Feature,Importance
Bps,0.4795565
FPL_ast,0.13068911
Gls,0.08595456
Goals_scored,0.068337575
xG,0.032826327
Opp_score,0.027965177
Player_CS,0.027908837
Min,0.02413463
Bonus,0.018672248
WDL_L,0.013189207
SoT,0.0109757045
Creativity,0.009565803
Ast,0.008097295
Team_score,0.0072367103
npxG,0.0060652583
Influence,0.0059082783
Sh,0.0058302167
FPL_xG,0.005339856
ICT_index,0.0052992282
GCA,0.0051073013
xP,0.0046983003
xA,0.0046043852
Threat,0.0044808905
WDL_W,0.0038664865
FPL_min,0.0036900244
Team_CS,0.0
log_Gls,0.0
log_Ast,0.0
log_xG,0.0
log_xA,0.0
