Feature,Importance
Bps,0.321458233359046
Bonus,0.11093232947614771
Influence,0.08353801191541427
Player_CS,0.06850057174745472
Goals_scored,0.06036536500232886
FPL_ast,0.045546638690441656
Gls,0.043304333058919196
ICT_index,0.0323059001049885
log_Gls,0.029118661478611252
Opp_score,0.024248165746733455
Creativity,0.021916902193412174
Team_CS,0.019650875180142743
Min,0.018646336055815043
log_Ast,0.01612366028846388
Threat,0.014473781872671317
Ast,0.013508755615840055
FPL_min,0.012362466705994299
GCA,0.010409620246110668
xP,0.009633970196386466
WDL_L,0.00554879340216475
Sh,0.005385439049737571
xA,0.0046617040284624685
Team_score,0.004479888658824046
log_xA,0.004274152534926529
xG,0.003953499605878813
WDL_W,0.0038460136535301685
log_xG,0.0034756449750664212
FPL_xG,0.0028272322553007574
npxG,0.0027653708082459277
SoT,0.0027376820929401946
